Height,Weight,Age,Gender,Muscule,Movement,TimeStamp,signal
189,70,20,1,1,0,2023-05-03T21:40:37.7862059+03:00,"[56, 47, 47, 32, 50, 35, 59, 50, 65, 53, 56, 59, 56, 59, 59, 47, 47, 50, 59, 53, 50, 62, 44, 65, 44, 74, 65, 65, 41, 56, 50, 74, 50, 47, 68, 44, 59, 80, 62, 41, 68, 113, 62, 59, 71, 92, 65, 74, 83, 47, 56, 131, 56, 68, 77, 62, 68, 59, 62, 134, 83, 68, 53, 59, 149, 41, 44, 53, 47, 50, 62, 50, 44, 68, 53, 59, 50, 56, 56, 50, 53, 50, 53, 68, 59, 50, 44, 65, 50]"
189,70,20,1,1,0,2023-05-03T21:40:43.8475582+03:00,"[41, 44, 53, 47, 47, 50, 50, 62, 77, 44, 50, 47, 53, 65, 59, 53, 47, 50, 50, 56, 59, 53, 56, 59, 80, 59, 50, 53, 56, 71, 56, 65, 68, 56, 53, 62, 56, 59, 53, 56, 80, 62, 68, 131, 59, 56, 128, 65, 140, 53, 74, 116, 53, 77, 62, 125, 62, 56, 149, 80, 62, 149, 59, 68, 149, 62, 77, 149, 50, 62, 62, 149, 59, 59, 119, 53, 59, 50, 149, 53, 50, 47, 83, 59, 56, 56, 59, 53, 62, 50, 47, 65, 59, 56, 53, 74, 65, 68, 53, 44, 68, 68, 56, 50, 74, 68, 47, 65, 50, 56, 62, 62, 68, 59, 59, 53, 53, 50, 47, 65, 53, 59]"
189,70,20,1,1,0,2023-05-03T21:41:01.7294284+03:00,"[62, 50, 59, 47, 53, 44, 47, 68, 44, 53, 53, 50, 53, 41, 50, 59, 53, 65, 53, 56, 53, 56, 56, 53, 53, 41, 47, 50, 50, 68, 50, 44, 68, 59, 62, 68, 59, 62, 116, 53, 56, 107, 71, 149, 50, 56, 59, 134, 56, 56, 59, 62, 62, 50, 53, 53, 53, 47, 50, 56, 59, 56, 65, 53, 47, 59, 62, 62, 68, 53, 74, 53, 44, 62, 53, 59, 68, 62, 59, 68, 56, 59, 59, 56]"
189,70,20,1,1,0,2023-05-03T21:41:06.3300023+03:00,"[56, 62, 56, 62, 59, 56, 50, 47, 59, 44, 62, 65, 62, 59, 59, 65, 62, 65, 62, 59, 65, 53, 65, 50, 59, 44, 56, 56, 59, 74, 59, 62, 62, 56, 65, 95, 65, 74, 62, 62, 47, 56, 62, 62, 71, 59, 71, 62, 50, 53, 65, 62, 65, 59, 74, 68, 56, 68, 56, 53, 59, 62, 56, 65, 59, 56, 56, 50, 59, 56, 47, 65, 56, 68, 59, 65]"
189,70,20,1,1,0,2023-05-03T21:41:11.582715+03:00,"[47, 59, 53, 50, 44, 50, 53, 59, 71, 62, 50, 56, 47, 53, 53, 62, 56, 53, 50, 62, 59, 56, 59, 59, 62, 59, 50, 59, 77, 53, 56, 53, 44, 62, 65, 59, 62, 56, 56, 65, 71, 56, 65, 59, 77, 59, 59, 98, 65, 68, 110, 89, 59, 56, 98, 80, 140, 68, 149, 65, 62, 65, 74, 149, 50, 68, 131, 65]"
189,70,20,1,1,0,2023-05-03T21:41:17.8804194+03:00,"[50, 68, 65, 44, 59, 77, 65, 65, 59, 53, 44, 47, 62, 56, 56, 65, 53, 62, 53, 62, 62, 53, 53, 62, 47, 56, 53, 77, 77, 65, 62, 53, 65, 56, 68, 56, 71, 53, 68, 74, 65, 98, 56, 134, 68, 80, 128, 125, 59, 47, 149, 65, 68, 149, 59, 83, 140, 74, 62, 50, 146, 59, 62, 128, 74, 80, 104, 86, 59, 71, 149, 68, 59]"
189,70,20,1,1,0,2023-05-03T21:41:24.6597263+03:00,"[68, 50, 47, 50, 56, 59, 65, 59, 62, 65, 59, 65, 68, 62, 80, 71, 50, 56, 62, 53, 68, 71, 59, 65, 53, 68, 59, 50, 83, 65, 56, 59, 71, 65, 59, 59, 56, 59, 80, 47, 56, 125, 65, 92, 65, 113, 86, 107, 59, 110, 59, 53, 104, 62, 149, 56, 62, 125, 83, 62, 56, 128, 71, 77, 149, 80, 65, 62, 149, 71, 62, 68, 146, 56, 80, 53, 68, 74, 53, 59, 95, 104, 68, 59, 68, 119, 71, 68, 80, 86, 47, 59, 68, 77, 140, 62, 59, 59, 128, 65, 56, 59, 71, 125, 77, 59, 68, 149, 65]"
189,70,20,1,1,0,2023-05-03T21:41:31.3155131+03:00,"[68, 47, 50, 68, 65, 68, 77, 56, 62, 62, 50, 68, 74, 62, 59, 53, 62, 65, 47, 44, 68, 74, 65, 68, 56, 62, 65, 62, 71, 68, 56, 71, 56, 74, 98, 53, 56, 65, 149, 62, 56, 149, 56, 59, 68, 53, 59, 74, 59, 62, 131, 56, 80, 53, 53, 71, 65, 68, 62, 59, 59, 56, 86, 71, 62, 53, 71, 71, 62, 62, 56, 44, 53, 68, 62, 65, 59, 53, 62, 50, 65, 68, 59, 59, 59, 62, 74, 56, 62, 62, 56]"
189,70,20,1,1,0,2023-05-03T21:41:37.8516974+03:00,"[56, 71, 53, 68, 74, 71, 65, 59, 65, 59, 56, 65, 65, 50, 77, 65, 77, 71, 59, 65, 71, 53, 59, 62, 53, 53, 71, 68, 74, 71, 77, 68, 65, 65, 71, 68, 80, 68, 65, 62, 71, 68, 68, 80, 68, 62, 80, 62, 65, 65, 62, 62, 59, 68, 59, 56, 59, 74, 68, 62, 74, 65, 71, 62, 71, 65, 74, 50, 62, 65, 65, 68, 71, 68, 56, 53, 59, 62, 68, 77]"
189,70,20,1,1,0,2023-05-03T21:41:44.6514015+03:00,"[56, 68, 71, 68, 62, 83, 53, 59, 68, 62, 71, 74, 50, 59, 56, 59, 56, 68, 68, 62, 65, 56, 62, 71, 68, 62, 71, 65, 65, 65, 47, 68, 65, 71, 65, 68, 50, 68, 53, 68, 65, 62, 62, 71, 65, 68, 71, 86, 83, 62, 80, 68, 68, 80, 65, 62, 68, 53, 65, 68, 71, 71, 68, 89, 74, 68, 68, 62, 59, 68, 65, 83, 59, 71, 77, 71, 50, 83, 71, 62, 68, 65, 65, 71, 65, 62, 65, 68, 59, 62, 65, 65, 77, 62, 65]"
